angles, -90, -90, 0, coords, 0.00000, -1.99997, 0.29277
angles, -90, -90, 5, coords, 0.00000, -1.99554, 0.20568
angles, -90, -90, 10, coords, 0.00000, -1.98355, 0.11936
angles, -90, -90, 15, coords, 0.00000, -1.96410, 0.03446
angles, -90, -90, 20, coords, -0.00000, -1.93736, -0.04838
angles, -90, -90, 25, coords, -0.00000, -1.90353, -0.12853
angles, -90, -90, 30, coords, -0.00000, -1.86290, -0.20540
angles, -90, -90, 35, coords, -0.00000, -1.81576, -0.27840
angles, -90, -90, 40, coords, -0.00000, -1.76250, -0.34701
angles, -90, -90, 45, coords, -0.00000, -1.70351, -0.41070
angles, -90, -90, 50, coords, -0.00000, -1.63925, -0.46902
angles, -90, -90, 55, coords, -0.00000, -1.57020, -0.52152
angles, -90, -90, 60, coords, -0.00000, -1.49689, -0.56783
angles, -90, -90, 65, coords, -0.00000, -1.41987, -0.60760
angles, -90, -90, 70, coords, -0.00000, -1.33971, -0.64054
angles, -90, -90, 75, coords, -0.00000, -1.25702, -0.66642
angles, -90, -90, 80, coords, -0.00000, -1.17242, -0.68504
angles, -90, -90, 85, coords, -0.00000, -1.08652, -0.69626
angles, -90, -90, 90, coords, -0.00000, -0.99999, -0.70001
angles, -90, -90, 95, coords, -0.00000, -0.91346, -0.69626
angles, -90, -90, 100, coords, -0.00000, -0.82757, -0.68503
angles, -90, -90, 105, coords, -0.00000, -0.74296, -0.66641
angles, -90, -90, 110, coords, -0.00000, -0.66027, -0.64053
angles, -90, -90, 115, coords, -0.00000, -0.58012, -0.60759
angles, -90, -90, 120, coords, -0.00000, -0.50309, -0.56781
angles, -90, -90, 125, coords, -0.00000, -0.42978, -0.52150
angles, -90, -90, 130, coords, -0.00000, -0.36074, -0.46900
angles, -90, -90, 135, coords, -0.00000, -0.29648, -0.41068
angles, -90, -90, 140, coords, -0.00000, -0.23749, -0.34699
angles, -90, -90, 145, coords, -0.00000, -0.18423, -0.27838
angles, -90, -90, 150, coords, -0.00000, -0.13709, -0.20537
angles, -90, -90, 155, coords, -0.00000, -0.09646, -0.12851
angles, -90, -90, 160, coords, -0.00000, -0.08309, -0.09911
angles, -90, -90, 165, coords, -0.00000, -0.08308, -0.09907
